"N7QYVWGR,""journalArticle"",""2024"",""Zhao, Junhui"; Ma, Yongfang;" Hu, Xiaoxiao"",""Analysis of quantile regression for race time in standard distance triathlons."",""PloS one"","""","""",""10.1371/journal.pone.0313496"","""",""<AbstractText Label=""""PURPOSE"""" NlmCategory=""""OBJECTIVE"""">This study aims to quantitatively analyze the impact of split times on overall performance in standard distance triathlon events. It also examines how environmental factors such as water type, temperature, and altitude affect overall race outcomes.</AbstractText> <AbstractText Label=""""METHODS"""" NlmCategory=""""METHODS"""">Quantile regression was employed to analyze the race records of 1,580 triathletes participating in 46 standard distance events in China.</AbstractText> <AbstractText Label=""""RESULTS"""" NlmCategory=""""RESULTS"""">Swim time significantly influences race performance among the top 50% of elite athletes (p &lt";" 0.05). For slower elite athletes, bike time is more critical. Temperature has a positive effect on race times, while altitude also shows a significant positive impact, with race times decreasing as altitude increases (up to 1,600 meters in this study's dataset). River water enhances race times compared to still water, whereas sea water generally slows athletes down.</AbstractText> <AbstractText Label=""""CONCLUSION"""" NlmCategory=""""CONCLUSIONS"""">The influence of split times and environmental factors on overall race rime varies according to the athletes' performance levels. To optimize results, training plans and race strategies should be tailored to each athlete's capabilities. Additionally, understanding and adapting to environmental conditions in advance is crucial.</AbstractText> <CopyrightInformation>Copyright: © 2024 Zhao et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.</CopyrightInformation>"",""2024"",""2026-08-25 13:58:13"",""2026-08-25 13:58:13"","""",""e0313496-e0313496"","""",""11"",""19"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"4TRGDJQB,""journalArticle"",""2024"",""Moreno-Martinez, Ismael";" Hattemer, Benjamin"",""Dust to Dust: Tracing Air Pollution's Impact on Work Accidents"",""SSRN Electronic Journal"","""","""",""10.2139/ssrn.4812658"","""",""NA"",""2024"",""2026-08-25 13:58:13"",""2026-08-25 13:58:13"","""",""NA-NA"","""",""NA"",""NA"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"X28IKCQI,""journalArticle"",""2025"",""Bougault, Valerie"; Carlsten, Christopher; Adami, Paolo Emilio; Sewry, Nicola; Schobersberger, Wolfgang; Soligard, Torbjørn; Engebretsen, Lars; Budgett, Richard; Schwellnus, Martin;" Fitch, Ken"",""Air quality, respiratory health and performance in athletes: a summary of the IOC consensus subgroup narrative review on 'Acute Respiratory Illness in Athletes'."",""British journal of sports medicine"","""","""",""10.1136/bjsports-2024-109145"","""",""With the WHO stating that nearly 99% of the global population is exposed to air pollution levels that increase the risk of chronic diseases, the question of exercising in polluted environments is relevant to the health of athletes. Major sporting events held under conditions of poor air quality (AQ) have highlighted the lack of answers to concerns raised by organisers and athletes about the associated health risks. This evidence-based narrative review compiles current knowledge and identifies gaps regarding the relationship between AQ and sport. It is a summary of a more comprehensive report prepared for the International Olympic Committee (IOC) Medical and Scientific Commission. This article discusses the various sources of air pollutants encountered during exercise, summarises current AQ guidelines and provides insights into AQ conditions during the Paris 2024 Olympic and Paralympic Games (OPG) as well as in Los Angeles over the past four summers, in preparation for the 2028 OPG. It also summarises the effects of air pollution on the respiratory health and performance of athletes, while proposing mitigation strategies, with a particular emphasis on AQ education."",""2025"",""2026-08-25 13:58:13"",""2026-08-25 13:58:13"","""",""480-490"","""",""7"",""59"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"RRTUZ74S,""journalArticle"",""2020"",""Kountouris, Yiannis"",""Ambient PM2.5 influences productive activities in public sector bureaucracies"",""Environmental Research Communications"","""","""",""10.1088/2515-7620/ab78cb"","""",""<jats:title>Abstract</jats:title> <jats:p>Fine particles (PM2.5) can penetrate buildings through ventilation and air conditioning systems, exposing indoors workers to pollution levels similar to those prevailing outdoors. This letter investigates the immediate influence of fine particle pollution on the productive activity of local government bureaucracies, linking novel data on the daily output of local governments in municipalities of the Athens metropolitan area, Greece, to PM2.5 levels recorded nearby. To address biases introduced by omitted variables and measurement error, I use the plausibly exogenous variation introduced by the basin’s horizontal ventilation, instrumenting PM2.5 levels with local wind strength. Estimates suggest a statistically and quantitatively significant negative effect from PM2.5 on the output of public administrations. Increasing PM2.5 levels by 1% decreases the activity proxy by around 0.25%. Results point to the influence PM2.5 can have on activities that are mentally but not physically demanding and suggest that costs from PM2.5 will increase with the share of global income produced by office workers.</jats:p>"",""2020"",""2026-08-25 13:58:13"",""2026-08-25 13:58:13"","""",""041003-NA"","""",""4"",""2"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"LBWBNPZN,""journalArticle"",""2025"",""Longman, Daniel P";" Shaw, Colin N"",""Homo sapiens, industrialisation and the environmental mismatch hypothesis."",""Biological reviews of the Cambridge Philosophical Society"","""","""",""10.1111/brv.70094"","""",""For the vast majority of the evolutionary history of Homo sapiens, a range of natural environments defined the parameters within which selection shaped human biology. Although human-induced alterations to the terrestrial biosphere have been evident for over 10,000 years, the pace and scale of change has accelerated dramatically since the onset of the Industrial Revolution in the late 18th century. Industrialisation has profoundly transformed our various natural habitats, driving rapid urban expansion, increasing reliance on fossil fuel energy and causing environmental contamination, ecosystem degradation and biodiversity loss. Today, most of the world's population resides in highly industrialised urban areas. These new primary human habitats differ fundamentally from our ancestral natural habitats, creating novel environmental challenges while, simultaneously, lacking key natural features linked to health and function. Although the adaptive capacity of humans has enabled survival in diverse and fluctuating environmental conditions, this capacity is limited. It is possible that the rapid industrialisation of our habitat is outpacing our adaptive capacity and is imposing selective pressures that threaten our evolutionary fitness. A growing body of observational and experimental evidence suggests that industrialisation negatively impacts key biological functions essential for survival and reproduction and, therefore, evolutionary fitness. Specifically, environmental contamination arising directly from industrial activities (e.g. air, noise and light pollution, microplastic accumulation) is linked to impaired reproductive, immune, cognitive and physical function. Chronic activation of the stress response systems, which further impairs these biological functions, also appears more pronounced in industrialised areas. Here, we consider whether the rapid and extensive environmental shifts of the Anthropocene have compromised the fitness of Homo sapiens. We begin by contrasting contemporary and ancestral human habitats before assessing the effects of these changes on core biological functions that underpin evolutionary fitness. We then ask whether industrialisation has created a mismatch between our primarily nature-adapted biology and the novel challenges imposed by contemporary industrialised environments - a possibility that we frame through the lens of the Environmental Mismatch Hypothesis. Finally, we explore experimental approaches to test this hypothesis and discuss the broader implications of such a mismatch."",""2025"",""2026-08-25 13:58:14"",""2026-08-25 13:58:14"","""",""580-601"","""",""2"",""101"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"HHEIPPH4,""journalArticle"",""2021"",""Liu, Huan"; Hu, Tiantian;" Wang, Meng"",""Impact of Air Pollution on Residents' Medical Expenses: A Study Based on the Survey Data of 122 Cities in China."",""Frontiers in public health"","""","""",""10.3389/fpubh.2021.743087"","""",""<b>Background:</b> With the development of the social economy, air pollution has resulted in increased social costs. Medical costs and health issues due to air pollution are important aspects of environmental governance in various countries. <b>Methods:</b> This study uses daily air pollution monitoring data from 122 cities in China to empirically investigate the impact of air pollution on residents' medical expenses using the Heckman two-stage and instrumental variable methods, matching data from the 2018 China Health and Retirement Longitudinal Study (CHARLS) survey. <b>Results:</b> The study found that poor air quality, measured by the air quality index (AQI), significantly increased the probability of chronic lung disease, heart disease, and self-rated poor health. Additionally, the AQI (with an effect of 4.51%) significantly impacted health-seeking behavior and medical expenses. The medical expenditure effects of mild, moderate, severe, and serious pollution days were 3.27, 7.21, 8.62, and 42.66%, respectively. <b>Conclusion:</b> In the long run, residents' health in areas with a higher air pollution index, indicating poor air quality, is negatively impacted. The more extreme the pollution, the higher the probability of residents' medical treatment and the subsequent increase in medical expenses. Group and regional heterogeneity also play a role in the impact of air pollution on medical expenses. Compared with the existing literature, this study is based on individuals aged 15 years and above and produces reliable research conclusions."",""2021"",""2026-08-25 13:58:14"",""2026-08-25 13:58:14"","""",""743087-743087"","""",""NA"",""9"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"YN46D2EL,""journalArticle"",""2022"",""Wang, Chunchao"; Lin, Qianqian;" Qiu, Yun"",""Productivity loss amid invisible pollution"",""Journal of Environmental Economics and Management"","""","""",""10.1016/j.jeem.2022.102638"","""",""NA"",""2022"",""2026-08-25 13:58:14"",""2026-08-25 13:58:14"","""",""102638-102638"","""",""NA"",""112"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"GNZA9B79,""journalArticle"",""2025"",""Zhao, Zhihao"; Gu, Hengyu; Lei, Ping;" Lao, Xin"",""Dilemmas for regional inequality in talent aggregation through environmental amenities: Re-examine China's hukou puzzle"",""Habitat International"","""","""",""10.1016/j.habitatint.2025.103440"","""",""NA"",""2025"",""2026-08-25 13:58:14"",""2026-08-25 13:58:14"","""",""103440-103440"","""",""NA"",""162"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"IRTLSZN7,""journalArticle"",""2023"",""Zhang, Qiang"; Yin, Zhicong; Lu, Xi; Gong, Jicheng; Lei, Yu; Cai, Bofeng; Cai, Cilan; Chai, Qimin; Chen, Huopo; Dai, Hancheng; Dong, Zhanfeng; Geng, Guannan; Guan, Dabo; Hu, Jianlin; Huang, Cunrui; Kang, Jianing; Li, Tiantian; Li, Wei; Lin, Yongsheng; Liu, Jun; Liu, Xin; Liu, Zhu; Ma, Jinghui; Shen, Guofeng; Tong, Dan; Wang, Xuhui; Wang, Xuying; Wang, Zhili; Xie, Yang; Xu, Honglei; Xue, Tao; Zhang, Bing; Zhang, Da; Zhang, Shaohui; Zhang, Shaojun; Zhang, Xian; Zheng, Bo; Zheng, Yixuan; Zhu, Tong; Wang, Jinnan;" He, Kebin"",""Synergetic roadmap of carbon neutrality and clean air for China."",""Environmental science and ecotechnology"","""","""",""10.1016/j.ese.2023.100280"","""",""It is well recognized that carbon dioxide and air pollutants share similar emission sources so that synergetic policies on climate change mitigation and air pollution control can lead to remarkable co-benefits on greenhouse gas reduction, air quality improvement, and improved health. In the context of carbon peak, carbon neutrality, and clean air policies, this perspective tracks and analyzes the process of the synergetic governance of air pollution and climate change in China by developing and monitoring 18 indicators. The 18 indicators cover the following five aspects: air pollution and associated weather-climate conditions, progress in structural transition, sources, inks, and mitigation pathway of atmospheric composition, health impacts and benefits of coordinated control, and synergetic governance system and practices. By tracking the progress in each indicator, this perspective presents the major accomplishment of coordinated control, identifies the emerging challenges toward the synergetic governance, and provides policy recommendations for designing a synergetic roadmap of Carbon Neutrality and Clean Air for China."",""2023"",""2026-08-25 13:58:14"",""2026-08-25 13:58:14"","""",""100280-100280"","""",""NA"",""16"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"3W8TAP2B,""journalArticle"",""2021"",""Hsu, Wen"; Hwang, Bing-Fang; Jung, Chau-Ren; Yau-Huo, NA;" Shr, NA"",""Can Air Pollution Save Lives? Air Quality and Risky Behaviors on Roads"",""arXiv: General Economics"","""","""","""","""",""Air pollution has been linked to elevated levels of risk aversion. This paper provides the first evidence showing that such effect reduces life-threatening risky behaviors. We study the impact of air pollution on traffic accidents caused by risky driving behaviors, using the universe of accident records and high-resolution air quality data of Taiwan from 2009 to 2015. We find that air pollution significantly decreases accidents caused by driver violations, and that this effect is nonlinear. In addition, our results suggest that air pollution primarily reduces road users' risky behaviors through visual channels rather than through the respiratory system."",""2021"",""2026-08-25 13:58:14"",""2026-08-25 13:58:14"","""",""NA-NA"","""",""NA"",""NA"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"HDXTU26P,""journalArticle"",""2021"",""Yang, Yongliang"; Fang, Jing; Wang, Wen; Li, Yan;" Li, Yi"",""The Impact of Air Quality on Effective Labor Supply: Based on the Survey Data of Zhejiang Province in China"",""Sustainability"","""","""",""10.3390/su13074012"","""",""Labor is one of the most important factors of production and the basis for the development of social productivity. China’s aging population problem is serious, and the study of the labor supply is of great importance in order to achieve its second centenary goal regarding social development. In this study, four stage mixed sampling was used to conduct a questionnaire survey in the Zhejiang province of China, and 590 valid questionnaires were obtained. An ordered logit model and sample selection model were used to analyze the impact of air quality on the effective labor supply. The results show that the effective labor supply was significantly correlated with air quality. That is, the worse the air quality was, the lower the effective labor supply was, although this relationship was more explicit for people who worked indoors. When air quality impedes residents’ daily lives and even affects their health, it indirectly affects the effective supply of local labor. This paper indicates the causal relationship between economic development and the ecological environment and has enlightening significance for the realization of sustainable development."",""2021"",""2026-08-25 13:58:14"",""2026-08-25 13:58:14"","""",""4012-NA"","""",""7"",""13"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"HLRXSXFJ,""journalArticle"",""2017"",""Fu, Shihe"; Viard, V. Brian;" Zhang, Peng"",""Air Pollution and Manufacturing Firm Productivity: Nationwide Estimates for China"",""SSRN Electronic Journal"","""","""",""10.2139/ssrn.2956505"","""",""An emerging literature estimates air pollution’s effects on productivity but only for small groups of workers of particular occupations or firms. To provide more comprehensive estimates necessary for nationwide policy analysis, we estimate effects for a nationally representative sample of China’s manufacturing firms from 1998 to 2007 and capture all channels by which pollution influences productivity. We use thermal inversions as an instrument to estimate the causal effect of pollution on productivity. A one μg/m3 decrease in PM2.5 increases productivity by 0.82% with an elasticity of -0.44. Firms respond by hiring more workers attenuating the elasticity to -0.17. Using the differential effect of China’s accession into the WTO on coastal versus inner regions, we estimate the causal effect of output on pollution (elasticity of 1.43) to simulate the dynamic, general-equilibrium effects of PM2.5 yielding an elasticity of -0.28. An exogenous 1% decrease in PM2.5 nationwide increases annual productivity by CNY 35.9 thousand for the average firm and CNY 5.7 billion or 0.039% of GDP nationally."",""2017"",""2026-08-25 13:58:14"",""2026-08-25 13:58:14"","""",""NA-NA"","""",""NA"",""NA"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"MPZJJCXL,""journalArticle"",""2021"",""Dong, Daxin"; Xu, Boyang; Shen, Ning;" He, Qian"",""The Adverse Impact of Air Pollution on China’s Economic Growth"",""Sustainability"","""","""",""10.3390/su13169056"","""",""This study empirically evaluates the impact of air pollution on China’s economic growth, based on a province-level sample for the period 2002–2017. Air pollution is measured by the concentration of fine particulate matter (PM2.5), and economic growth is measured by the annual growth rate of gross domestic product (GDP) per capita. A panel data fixed-effects regression model is built, and the instrumental variables estimation method is utilized for quantitative analyses. The study reports a significant negative impact of air pollution on the macroeconomic growth of China. According to our instrumental variables estimation, holding other factors constant, if the concentration of PM2.5 increases by 1%, then the GDP per capita growth rate will decline by 0.05818 percentage points. In addition, it is found that the adverse effect of atmospheric pollution is heterogeneous across different regions. The effect is stronger in the eastern region and in provinces with smaller state-owned enterprise shares, fewer governmental expenditures for public health services, and fewer medical resources. The study results reveal that air pollution poses a substantial threat to the sustainable economic growth of China. Taking actions to abate air pollution will generate great economic benefits, especially for those regions which are heavily damaged by pollution."",""2021"",""2026-08-25 13:58:14"",""2026-08-25 13:58:14"","""",""9056-NA"","""",""16"",""13"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"YE8J7EP8,""journalArticle"",""2024"",""Cvijanovic, Dragana"; Rolheiser, Lyndsey; Schoni, Olivier;" Van de Minne, Alex"",""Smoked Out: Impact of Wildfire Smoke on Labour and Buildings"",""NA"","""","""",""10.2139/ssrn.4999797"","""",""NA"",""2024"",""2026-08-25 13:58:14"",""2026-08-25 13:58:14"","""",""NA-NA"","""",""NA"",""NA"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"W2VU39ID,""journalArticle"",""2021"",""Fesselmeyer, Eric"",""The impact of temperature on labor quality: Umpire accuracy in Major League Baseball"",""Southern Economic Journal"","""","""",""10.1002/soej.12524"","""",""Using data from Major League Baseball, I compute an objective measure of the home plate umpire's work quality- the accuracy of his ball and strike calls during a game- and measure how it varies with temperature. I find that an increase in game-time temperature from between 70F and 80F to above 95F decreases an umpire's accuracy by a little less than a percentage point, which is a 5.5% increase in the pitch-calling error rate when evaluated at the mean error rate of 13.3%. Restricting the sample to borderline pitches increases the magnitude of the hot-weather effect on accuracy to over a percentage point. My results indicate that very hot temperatures have a nontrivial, negative effect on the labor supply quality of a highly trained and highly skilled workforce in an important, high-revenue, and high-stakes industry, and suggest that protecting workers from daily variation in temperature can improve labor productivity."",""2021"",""2026-08-25 13:58:14"",""2026-08-25 13:58:14"","""",""545-567"","""",""2"",""88"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
